exception_name;count;libraries
PREPARE_SERVERFLIGHT1;1;1
InternalFailure;1;1
NotYetFinalized;1;1
InvalidChannelNumber;1;1
InvalidInternetGatewayIdError;1;1
MissingSchema;1;1
MissingSectionHeaderError;1;1
InvalidID;1;1
MotoNotImplementedError;1;1
MultipleFailures;1;1
NO_USABLE_CIPHERSUITE;1;1
NackError;1;1
InvalidFieldTypeException;1;1
NoExamples;1;1
IndexConformanceException;1;1
InsufficientBalance;1;1
ParamValidationError;1;1
NumExprClobberingError;1;1
InvalidPart;1;1
LstsqLapackError;1;1
MICError;1;1
InvalidRequest;1;1
MissingBucket;1;1
InvalidKeyPairNameError;1;1
ADDED_CERTIFICATEREQUEST;1;1
NullTypeGradError;1;1
InternalError;1;1
PREPARE_SERVERFLIGHT2;1;1
OperationNotPermitted;1;1
InterceptionPoint;1;1
IntegratorConcurrencyError;1;1
OrderFindingException;1;1
IntegerDivisionError;1;1
PREPARE_CLIENTFLIGHT1;1;1
NullResource;1;1
PREPARE_CLIENTFLIGHT2;1;1
SSLv2_MISSING_CLIENTCERTIFICATE;1;1
SSLv2_SENT_REQUESTCERTIFICATE;1;1
EnvNotFoundException;1;1
SENT_CLIENTFLIGHT1;1;1
RECEIVING;1;1
HomomorphismFailed;1;1
PossibleDataLossError;1;1
HTTPrettyError;1;1
HANDLED_SERVERFINISHED;1;1
HANDLED_SERVERDATA;1;1
ProtocolVersionMismatch;1;1
HANDLED_SERVERCERTIFICATE;1;1
PyperclipException;1;1
HANDLED_CLIENTDATA;1;1
ReadTimeout;1;1
HANDLED_CLIENTCERTIFICATE;1;1
HANDLED_CERTIFICATEVERIFY;1;1
RECEIVED_ACK;1;1
RECEIVED_CLIENTDATA;1;1
RECEIVED_CLIENTFLIGHT1;1;1
RECEIVED_CLIENTFLIGHT2;1;1
RECEIVED_RRQ;1;1
RECEIVED_SERVERDATA;1;1
ReceiptHandleIsInvalid;1;1
ResourceContentionError;1;1
SSLv2_HANDLED_CLIENTDATA;1;1
SENT_CLIENTDATA;1;1
RecursionStopIteration;1;1
RecursiveGrammarException;1;1
ReentrancyError;1;1
RefinementFailed;1;1
ReorderError;1;1
ReplacementDidntRemovedError;1;1
RepositoryDirtyError;1;1
GatewayNotAttachedError;1;1
Frozen;1;1
RecursionError;1;1
FractionalMatrixPowerError;1;1
FlagError;1;1
FitUniformFixedScaleDataError;1;1
RetryError;1;1
FieldAttributeException;1;1
RulesPerSecurityGroupLimitExceededError;1;1
RunIsComplete;1;1
FailedHealthCheck;1;1
SEND_DATA;1;1
RECEIVED_SERVERFLIGHT1;1;1
RECEIVED_SERVERFLIGHT2;1;1
QueueDoesNotExist;1;1
IAMReportNotPresentException;1;1
SSLv2_SENT_CLIENTHELLO;1;1
SENT_SERVERDATA;1;1
SSLv2_MISSING_SERVERHELLO;1;1
SSLv2_MISSING_CLIENTMASTERKEY;1;1
SNSInvalidParameter;1;1
ExtensionError;1;1
ErrorState;1;1
SSLv2_ADDED_CLIENTCERTIFICATE;1;1
SSLv2_ADDED_CLIENTDATA;1;1
SSLv2_ADDED_CLIENTFINISHED;1;1
SSLv2_ADDED_CLIENTHELLO;1;1
SSLv2_ADDED_CLIENTMASTERKEY;1;1
SSLv2_ADDED_REQUESTCERTIFICATE;1;1
SSLv2_MISSING_SERVERFINISHED;1;1
SSLv2_ADDED_SERVERDATA;1;1
SSLv2_ADDED_SERVERHELLO;1;1
ErrorLength;1;1
EnvironmentError;1;1
SSLv2_CLOSE_NOTIFY_FINAL;1;1
SSLv2_WAITING_CLIENTMASTERKEY;1;1
EmptyPoolError;1;1
SSLv2_WAITING_CLIENTCERTIFICATE;1;1
SSLv2_RECEIVED_SERVERHELLO;1;1
SENT_CLIENTFLIGHT2;1;1
SENT_SERVERFLIGHT2;1;1
SSLv2_PREPARE_CLIENTHELLO;1;1
SSLv2_RECEIVED_CLIENTCERTIFICATE;1;1
SSLv2_RECEIVED_CLIENTDATA;1;1
EntityTooSmall;1;1
SSLv2_RECEIVED_CLIENTMASTERKEY;1;1
SSLv2_RECEIVED_SERVERDATA;1;1
SSLv2_SENT_CLIENTCERTIFICATE;1;1
SSLv2_SENT_SERVERVERIFY;1;1
SSLv2_SENT_CLIENTDATA;1;1
SSLv2_MISSING_SERVERVERIFY;1;1
SSLv2_SENT_CLIENTFINISHED;1;1
SSLv2_SENT_CLIENTMASTERKEY;1;1
NoSuchExample;1;1
SSLv2_SENT_SERVERDATA;1;1
SSLv2_SENT_SERVERFINISHED;1;1
SSLv2_SENT_SERVERHELLO;1;1
NoFreeChannels;1;1
BadHealthCheckDefinition;1;1
NoSuchPathError;1;1
TLS13_ADDED_CLIENTHELLO;1;1
UnmergedEntriesError;1;1
DuplicatePriorityError;1;1
SingularityError;1;1
Singlestep;1;1
ShortStringTooLong;1;1
DuplicateSnsEndpointError;1;1
TLS13_SENT_CLIENTHELLO;1;1
ShardNotFoundError;1;1
TLS13_START;1;1
SkipNode;1;1
DuplicateExtension;1;1
SnapshotCopyDisabledFaultError;1;1
DBSnapshotAlreadyExistsError;1;1
SolcMissing;1;1
DryRunClientError;1;1
SqrtmError;1;1
StageNotFoundException;1;1
SocketError;1;1
StochasticOrder;1;1
TLS13_SENT_CLIENTFLIGHT2;1;1
TLS13_ADDED_CLIENTFINISHED;1;1
AutomatonError;1;1
DADict_Exception;1;1
cls;1;1
AuthenticationError;1;1
create_api_error_from_http_exception;1;1
AssignmentError;1;1
ArpackNoConvergence;1;1
AlreadyUpdated;1;1
AlreadyExistsException;1;1
AliasedMemoryError;1;1
error_class;1;1
errors;1;1
AdvancedIndexingError;1;1
AdvancedBooleanIndexingError;1;1
UnrecognizedInputFormatException;1;1
ClosedFileError;1;1
UserWarning;1;1
UnloadedResources;1;1
SnapshotCopyAlreadyEnabledFaultError;1;1
SnapshotCopyAlreadyDisabledFaultError;1;1
DATA;1;1
DockerError;1;1
SnapshotCopyGrantAlreadyExistsFaultError;1;1
DistributionNotFound;1;1
SnsEndpointDisabled;1;1
SWFDecisionValidationException;1;1
ClusterError;1;1
UnicodeError;1;1
ClosedPoolError;1;1
UnknownResource;1;1
ConnectTimeout;1;1
ContainerError;1;1
CompileError;1;1
E_grad;1;1
SYN_SENT;1;1
CrossLocationLoggingProhibitted;1;1
TZSPStructureException;1;1
CookieConflictError;1;1
ContractionAppliesOnlyToFermions;1;1
TemplateNotFound;1;1
SolveFailed;1;1
EXIT;1;1
ContentDecodingError;1;1
SWFWorkflowExecutionAlreadyStartedFault;1;1
SWFDefaultUndefinedFault;1;1
ClusterSnapshotAlreadyExistsError;1;1
SWFDomainAlreadyExistsFault;1;1
DuplicateTargetGroupName;1;1
SnapshotQuotaExceededError;1;1
StreamParseError;1;1
Stuck;1;1
DeadlineExceeded;1;1
SubstitutionOfAmbigousOperatorFailed;1;1
DuplicateGetOkCallback;1;1
StreamConsumedError;1;1
SettingWithCopyError;1;1
TLS13_WAITING_SERVERHELLO;1;1
EmptyDatasetException;1;1
ComplexError;1;1
EmptyConstantError;1;1
TooManyRedirects;1;1
CommandError;1;1
SWFTypeAlreadyExistsFault;1;1
TrainerInitializationException;1;1
CodeWrapError;1;1
TransportableException;1;1
AuthenticationFailed;1;1
AutoscalingClientError;1;1
InvalidDomainError;1;1
WebSocketError;1;1
WorkerInterrupt;1;1
XFail;1;1
XMLSyntaxError;1;1
XPass;1;1
_BGPInvalidDataException;1;1
_BreakException;1;1
BadFortranFormat;1;1
WinError;1;1
_DTYPE_ERROR;1;1
BlockGasLimitReached;1;1
BluetoothCommandError;1;1
ClientError;1;1
UnroutableError;1;1
CleanupFailed;1;1
CidrLimitExceeded;1;1
UnsignedTransaction;1;1
ChunkedEncodingError;1;1
UnsupportedAMQPFieldException;1;1
ChildProcessError;1;1
WorkTreeRepositoryUnsupported;1;1
WAITING_CLIENTFLIGHT1;1;1
__class__;1;1
Warning;1;1
NonCommutativeExpression;1;1
NonGuiException;1;1
NonIntersectingPathException;1;1
InvalidDBClusterStateFaultError;1;1
NotFoundException;1;1
NotHolonomicError;1;1
NotHyperSeriesError;1;1
SSLv2_WAITING_SERVERDATA;1;1
EmptyListenersError;1;1
SSLv2_RECEIVED_SERVERFINISHED;1;1
SSLv2_WAITING_SERVERVERIFY;1;1
WAITING_CLIENTFLIGHT2;1;1
WAITING_SERVERDATA;1;1
WAITING_SERVERFLIGHT1;1;1
WAITING_SERVERFLIGHT2;1;1
BadZipfile;1;1
WAIT_AUTH_REQUEST;1;1
WAIT_GTK_ACCEPT;1;1
WPA_HANDSHAKE_STEP_1_SENT;1;1
CheckoutError;1;1
BlockingError;1;1
UnsupportedGeneralNameType;1;1
CachedConstantError;1;1
ADDED_CLIENTHELLO;1;1
ADDED_CLIENTDATA;1;1
result;1;1
skimage_deprecation;1;1
state;1;1
type;1;1
type_error;1;1
ADDED_CLIENTCERTIFICATE;1;1
ADDED_CERTIFICATEVERIFY;1;1
ve;1;1
ADDED_CLIENTFINISHED;1;1
AWSError;1;1
exception_or_message;1;1
exc_value;1;1
_NTPInvalidDataException;1;1
BER_Exception;1;1
_NotIPython;1;1
BER_Encoding_Error;1;1
BER_BadTag_Decoding_Error;1;1
fallback;1;1
missing_key_error;1;1
maybe_exception;1;1
ChannelAlreadyClosing;1;1
SSLv2_WAITING_SERVERHELLO;1;1
CONNECT;1;1
CLOSE_NOTIFY_FINAL;1;1
VectorTypeError;1;1
BucketAlreadyExists;1;1
VersionConflictException;1;1
Breakpoint;1;1
BodyTooLongError;1;1
BadDestroyMap;1;1
ADDED_CLIENTKEYEXCHANGE;1;1
_Ipv6UnsupportedError;1;1
BIND;1;1
fmakeexc;1;1
ADDED_SERVERKEYEXCHANGE;1;1
ADDED_SERVERHELLODONE;1;1
ADDED_SERVERHELLO;1;1
ADDED_SERVERFINISHED;1;1
ADDED_SERVERDATA;1;1
ADDED_CERTIFICATE;1;1
